Chain ID,Start Time,End Time,Techniques,Tactic,Confidence Score,Explanation,Duration,Num Events
6796,2021-03-02 16:52:53.374,2021-03-02 16:52:53.374,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
6794,2021-03-02 16:52:53.474,2021-03-02 16:52:53.474,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
8895,2021-03-02 16:53:40.945,2021-03-02 16:53:40.945,T1003.001,TA0006 Credential Access,40.0,Chain: C:\Windows\System32\lsass.exe; credential dump indicators. Likely T1003.001. Confidence 40%.,0.0,1
7290,2021-03-02 16:53:43.945,2021-03-02 16:53:43.945,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
8299,2021-03-02 16:53:44.029,2021-03-02 16:53:44.029,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
8288,2021-03-02 16:53:44.045,2021-03-02 16:53:44.045,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
8289,2021-03-02 16:53:44.045,2021-03-02 16:53:44.045,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
8298,2021-03-02 16:53:44.049,2021-03-02 16:53:44.049,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
8268,2021-03-02 16:53:44.075,2021-03-02 16:53:44.075,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
8191,2021-03-02 16:53:44.138,2021-03-02 16:53:44.138,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
8178,2021-03-02 16:53:44.154,2021-03-02 16:53:44.154,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
8179,2021-03-02 16:53:44.154,2021-03-02 16:53:44.154,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
8188,2021-03-02 16:53:44.156,2021-03-02 16:53:44.156,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
8159,2021-03-02 16:53:44.175,2021-03-02 16:53:44.175,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
8078,2021-03-02 16:53:44.248,2021-03-02 16:53:44.248,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
8077,2021-03-02 16:53:44.264,2021-03-02 16:53:44.264,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
8065,2021-03-02 16:53:44.275,2021-03-02 16:53:44.275,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
8066,2021-03-02 16:53:44.275,2021-03-02 16:53:44.275,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
8067,2021-03-02 16:53:44.275,2021-03-02 16:53:44.275,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
8039,2021-03-02 16:53:44.295,2021-03-02 16:53:44.295,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7967,2021-03-02 16:53:44.357,2021-03-02 16:53:44.357,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7966,2021-03-02 16:53:44.371,2021-03-02 16:53:44.371,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7955,2021-03-02 16:53:44.375,2021-03-02 16:53:44.375,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7938,2021-03-02 16:53:44.388,2021-03-02 16:53:44.388,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7946,2021-03-02 16:53:44.388,2021-03-02 16:53:44.388,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7912,2021-03-02 16:53:44.404,2021-03-02 16:53:44.404,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7848,2021-03-02 16:53:44.475,2021-03-02 16:53:44.475,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7853,2021-03-02 16:53:44.476,2021-03-02 16:53:44.476,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7814,2021-03-02 16:53:44.498,2021-03-02 16:53:44.498,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7817,2021-03-02 16:53:44.498,2021-03-02 16:53:44.498,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7826,2021-03-02 16:53:44.498,2021-03-02 16:53:44.498,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7791,2021-03-02 16:53:44.513,2021-03-02 16:53:44.513,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7732,2021-03-02 16:53:44.575,2021-03-02 16:53:44.575,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7741,2021-03-02 16:53:44.579,2021-03-02 16:53:44.579,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7698,2021-03-02 16:53:44.607,2021-03-02 16:53:44.607,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7701,2021-03-02 16:53:44.607,2021-03-02 16:53:44.607,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
